Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
53,17,28/02/2018 10:27:26,2079,1,1,33,113,33,33,33,0,113,113,113,0,70226.0702260702,962.000962001,2079,0,2079,2079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,481.0004810005,481.0004810005,33,113,59.6666666667,46.1880215352,2133.3333333333,0,0,0,0,0,0,0,0,1,89.5,33,113,0,0,0,0,0,0,1,33,1,113,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
445,6,28/02/2018 11:47:52,753275,5,4,286,170,103,0,57.2,52.4852360193,131,0,42.5,61.7980582219,605.356609472,11.9478278185,94159.375,128240.438370316,252774,30,753215,188303.75,121705.799375311,252804,5892,753245,251081.666666667,8456.3456843564,258962,242148,0,0,0,0,112,92,6.6376821214,5.3101456971,0,131,45.6,52.9846938066,2807.3777777778,0,0,0,1,0,0,0,0,0,50.6666666667,57.2,42.5,0,0,0,0,0,0,5,286,4,170,8192,0,3,20,0,0,0,0,0,0,0,0,Benign
55357,6,28/02/2018 02:06:46,22,1,1,0,0,0,0,0,0,0,0,0,0,0,90909.0909090909,22,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,45454.5454545455,45454.5454545455,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,946,0,0,20,0,0,0,0,0,0,0,0,Benign
53,17,28/02/2018 04:48:22,366,1,1,36,52,36,36,36,0,52,52,52,0,240437.158469945,5464.4808743169,366,0,366,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2732.2404371585,2732.2404371585,36,52,41.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,62,36,52,0,0,0,0,0,0,1,36,1,52,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
3389,6,28/02/2018 11:32:43,2801772,8,9,1128,1581,661,0,141,222.62332056,1173,0,175.6666666667,385.5612791762,966.8880979609,6.0675886546,175110.75,262230.184231717,1094553,2,2801772,400253.142857143,494201.746349413,1405055,2,2693870,336733.75,326506.525913233,1094553,1868,0,0,0,0,172,192,2.8553358375,3.2122528171,0,1173,150.5,303.4372209516,92074.1470588235,0,0,1,1,0,0,0,1,1,159.3529411765,141,175.6666666667,0,0,0,0,0,0,8,1128,9,1581,8192,62872,5,20,0,0,0,0,0,0,0,0,Benign
53,17,28/02/2018 04:45:16,446,1,1,36,52,36,36,36,0,52,52,52,0,197309.417040359,4484.3049327354,446,0,446,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2242.1524663677,2242.1524663677,36,52,41.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,62,36,52,0,0,0,0,0,0,1,36,1,52,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
53,17,28/02/2018 12:17:44,1504,1,1,37,77,37,37,37,0,77,77,77,0,75797.8723404256,1329.7872340426,1504,0,1504,1504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,664.8936170213,664.8936170213,37,77,50.3333333333,23.0940107676,533.3333333333,0,0,0,0,0,0,0,0,1,75.5,37,77,0,0,0,0,0,0,1,37,1,77,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
445,6,28/02/2018 01:43:47,286408,5,4,286,170,103,0,57.2,52.4852360193,131,0,42.5,61.7980582219,1592.1342979246,31.4237032485,35801,49233.2165978563,95288,21,286370,71592.5,47570.4987115614,95545,237,286387,95462.3333333333,223.3838251381,95716,95295,0,0,0,0,112,92,17.4576129158,13.9660903327,0,131,45.6,52.9846938066,2807.3777777778,0,0,0,1,0,0,0,0,0,50.6666666667,57.2,42.5,0,0,0,0,0,0,5,286,4,170,8192,0,3,20,0,0,0,0,0,0,0,0,Benign
53,17,28/02/2018 02:25:44,1324,1,1,42,58,42,42,42,0,58,58,58,0,75528.7009063444,1510.5740181269,1324,0,1324,1324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,755.2870090634,755.2870090634,42,58,47.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,71,42,58,0,0,0,0,0,0,1,42,1,58,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
53,17,28/02/2018 02:12:02,1918,1,1,40,101,40,40,40,0,101,101,101,0,73514.0771637122,1042.7528675704,1918,0,1918,1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,521.3764337852,521.3764337852,40,101,60.3333333333,35.2183664206,1240.3333333333,0,0,0,0,0,0,0,0,1,90.5,40,101,0,0,0,0,0,0,1,40,1,101,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
49841,6,28/02/2018 08:32:15,7,1,1,0,0,0,0,0,0,0,0,0,0,0,285714.285714286,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,142857.142857143,142857.142857143,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,115,256,0,20,0,0,0,0,0,0,0,0,Benign
3389,6,28/02/2018 08:36:17,1665739,8,7,1144,1581,677,0,143,227.9699228282,1173,0,225.8571428571,430.0986044197,1635.9105478109,9.0050121898,118981.357142857,245554.877650788,953169,3,1665739,237962.714285714,389895.059823672,1117283,3,1557594,259599,340471.259161768,953169,108366,0,0,0,0,168,148,4.8026731679,4.2023390219,0,1173,170.3125,319.402717323,102018.095833333,0,0,0,1,0,0,0,0,0,181.6666666667,143,225.8571428571,0,0,0,0,0,0,8,1144,7,1581,8192,62856,5,20,0,0,0,0,0,0,0,0,Benign
50349,6,28/02/2018 08:57:16,988,3,1,31,0,31,0,10.3333333333,17.8978583449,0,0,0,0,31376.5182186235,4048.5829959514,329.3333333333,549.6410950187,964,10,988,494,664.6803743154,964,24,0,0,0,0,0,0,0,0,0,60,20,3036.4372469636,1012.1457489879,0,31,6.2,13.8636214605,192.2,0,0,0,0,1,0,0,0,0,7.75,10.3333333333,0,0,0,0,0,0,0,3,31,1,0,983,0,1,20,0,0,0,0,0,0,0,0,Benign
51002,6,28/02/2018 09:40:44,26765,3,1,31,0,31,0,10.3333333333,17.8978583449,0,0,0,0,1158.2290304502,149.4489071549,8921.6666666667,15433.7313159629,26743,0,26743,13371.5,18910.1566492718,26743,0,0,0,0,0,0,0,0,0,0,60,20,112.0866803662,37.3622267887,0,31,6.2,13.8636214605,192.2,0,0,0,0,1,0,0,0,0,7.75,10.3333333333,0,0,0,0,0,0,0,3,31,1,0,1127,0,1,20,0,0,0,0,0,0,0,0,Benign
53,17,28/02/2018 12:17:44,481,1,1,38,54,38,38,38,0,54,54,54,0,191268.191268191,4158.0041580042,481,0,481,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2079.0020790021,2079.0020790021,38,54,43.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,65,38,54,0,0,0,0,0,0,1,38,1,54,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
53,17,28/02/2018 08:55:21,425,1,1,36,164,36,36,36,0,164,164,164,0,470588.235294118,4705.8823529412,425,0,425,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2352.9411764706,2352.9411764706,36,164,78.6666666667,73.9008344563,5461.3333333333,0,0,0,0,0,0,0,0,1,118,36,164,0,0,0,0,0,0,1,36,1,164,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
53,17,28/02/2018 02:06:39,1127,1,1,51,79,51,51,51,0,79,79,79,0,115350.488021295,1774.6228926353,1127,0,1127,1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,887.3114463177,887.3114463177,51,79,60.3333333333,16.1658075373,261.3333333333,0,0,0,0,0,0,0,0,1,90.5,51,79,0,0,0,0,0,0,1,51,1,79,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
53,17,28/02/2018 03:12:49,1234,1,1,32,90,32,32,32,0,90,90,90,0,98865.4781199352,1620.7455429498,1234,0,1234,1234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,810.3727714749,810.3727714749,32,90,51.3333333333,33.486315613,1121.3333333333,0,0,0,0,0,0,0,0,1,77,32,90,0,0,0,0,0,0,1,32,1,90,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
53,17,28/02/2018 03:37:45,958,1,1,31,112,31,31,31,0,112,112,112,0,149269.311064718,2087.6826722338,958,0,958,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1043.8413361169,1043.8413361169,31,112,58,46.7653718044,2187,0,0,0,0,0,0,0,0,1,87,31,112,0,0,0,0,0,0,1,31,1,112,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
