Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,6,01/03/2018 10:52:12,572673,3,1,0,0,0,0,0,0,0,0,0,0,0,6.984788876,190891,234237.276,452323,116,572673,286336.5,234740.3595,452323,120350,0,0,0,0,0,0,0,0,0,72,32,5.238591657,1.746197219,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,8192,42780,0,20,0,0,0,0,0,0,0,0,Benign
53,17,01/03/2018 03:09:26,38763,2,2,64,256,32,32,32.0,0.0,128,128,128.0,0.0,8255.294998,103.1911875,12921.0,21634.61756,37902,293,38195,38195.0,0.0,38195,38195,861,861.0,0.0,861,861,0,0,0,0,16,16,51.59559374,51.59559374,32,128,70.4,52.58136552,2764.8,0,0,0,0,0,0,0,0,1,88.0,32.0,128.0,0,0,0,0,0,0,2,64,2,256,-1,-1,1,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
445,6,01/03/2018 12:19:33,306938,3,1,0,0,0,0,0,0,0,0,0,0,0,13.03194782,102312.6667,176405.7276,306008,92,306938,153469,215852.8302,306100,838,0,0,0,0,0,0,0,0,0,72,32,9.773960865,3.257986955,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0,0,0,0,0,0,0,0,Benign
53,17,01/03/2018 08:21:11,20168,1,1,44,100,44,44,44,0,100,100,100,0,7140.0238,99.16699722,20168,0,20168,20168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,49.58349861,49.58349861,44,100,62.66666667,32.33161507,1045.333333,0,0,0,0,0,0,0,0,1,94,44,100,0,0,0,0,0,0,1,44,1,100,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
53,17,01/03/2018 09:29:00,663,1,1,32,128,32,32,32.0,0.0,128,128,128.0,0.0,241327.3002,3016.591252,663.0,0.0,663,663,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,1508.295626,1508.295626,32,128,64.0,55.42562584,3072.0,0,0,0,0,0,0,0,0,1,96.0,32.0,128.0,0,0,0,0,0,0,1,32,1,128,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,01/03/2018 10:39:52,40455,2,2,68,324,34,34,34,0,162,162,162,0,9689.778767,98.87529354,13485,23034.9511,40083,49,40132,40132,0,40132,40132,372,372,0,372,372,0,0,0,0,16,16,49.43764677,49.43764677,34,162,85.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1,106.5,34,162,0,0,0,0,0,0,2,68,2,324,-1,-1,1,8,0,0,0,0,0,0,0,0,Benign
80,6,01/03/2018 02:12:27,45670973,6,5,5,0,1,0,0.833333333,0.40824829,0,0,0,0,0.109478727,0.2408532,4567097.3,4978648.141,10000000,11259,45700000,9134194.6,1970360.827,10000000,5609506,40100000,10000000,48.48711169,10000000,10000000,0,0,0,0,120,160,0.131374473,0.109478727,0,1,0.5,0.522232968,0.272727273,0,0,0,0,1,0,0,0,0,0.545454545,0.833333333,0,0,0,0,0,0,0,6,5,5,0,256,290,4,20,11302.5,11.95826074,11317,11290,10000000,26.53770902,10000000,10000000,Benign
443,6,01/03/2018 03:05:27,113426659,20,23,3201,1725,1324,0,160.05,410.2603121,484,0,75,154.4003062,43.42894381,0.379099591,2700634.738,4424222.559,10200000,0,113000000,5967687.368,4939277.965,10200000,1147,113000000,5153988.682,5089156.601,10200000,0,0,0,0,0,412,592,0.176325391,0.2027742,0,1324,111.9545455,297.7681285,88665.85835,0,0,1,1,0,0,0,1,1,114.5581395,160.05,75,0,0,0,0,0,0,20,3201,23,1725,8192,1494,14,20,284085.7273,660602.2388,2255694,40628,10000000,196085.7328,10200000,9510068,Benign
53,17,01/03/2018 03:13:40,1241,1,1,35,93,35,35,35,0,93,93,93,0,103142.6269,1611.603546,1241,0,1241,1241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,805.8017728,805.8017728,35,93,54.33333333,33.48631561,1121.333333,0,0,0,0,0,0,0,0,1,81.5,35,93,0,0,0,0,0,0,1,35,1,93,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
51201,6,01/03/2018 01:15:26,0,2,0,31,0,31,0,15.5,21.92031022,0,0,0,0,Infinity,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,0,0,0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,31,15.5,0,0,0,0,0,0,0,2,31,0,0,60,-1,0,20,0,0,0,0,0,0,0,0,Benign
